start_date,end_date,duration_in_seconds,recorded_date,response_id,consent,reason_mistake,mistake_type,mistake_cause,stress,workflow,experience,comment,comment_modified,experience_modified
2023-06-27 05:01:18,2023-06-27 05:45:22,2643,2023-06-27 05:45:23,R_1n94OgaDKL8wnLE,Yes,It was the main reason,Data input error,Bad skill management,6,Yes,"The first author is suffering an eye surgery when he provides the manuscript for his master degree graduation, due to short of inadequate training and the complex meta data, four wrong sequence names were input wrongly, with one of number reversed fore and after, one wrong accession of bacteria, one identical sequence with another but maybe from one sample at a different part, one can't be defined wrong. We tried to trace to the source of data but we are defeated,  the first author died at one traffic accident in his homeland.","We sorry for this retraction and for the student. As the corresponding author, I am defaut at the careful revision for the data , and did not provide enough training for him.",not modified,not modified
2023-06-27 05:50:01,2023-06-27 06:50:57,3656,2023-06-27 06:50:59,R_0dBq3V0brpjTaEh,Yes,Partially,Insufficient or incorrect documentation,Too high complexity,6,No,to further make entire suvery of research question and research design and perform experiment carefully and properly.,To further perform experiments to validate the research hypothesis and handle the data analysis properly and to avoid the potential conflict of interest when make the article publish publicly,not modified,not modified
2023-06-26 12:26:12,2023-06-27 08:32:51,72399,2023-06-27 08:32:53,R_2eRNkGLXhavS7Jm,Yes,Partially,NA,NA,4,No,"My retraction was not due to data management error. It was due to an abusive relationship I had with my supervisor who initially did not want to be on the paper and allowed me to proceed, and later felt furious that I succeeded without him. He threatened me to retract the paper or face dismissal from from PhD scholarship and studies.",My retraction remains one of the hardest points in my academic career. It was a show of power by those in authority. My email is [deleted identifiable information] for more,modified,not modified
2023-06-27 11:26:46,2023-06-27 11:31:55,309,2023-06-27 11:31:57,R_1flwGBC7S0kTfWx,Yes,It was the main reason,Data transfer error,Inattention,6,No,There are vigilante scientists now that comb through data abs look for mistakes. Honest mistakes are no longer even considered to be honest or accidental.,Happy to talk about everything but this entire process has been such a nightmare and what is even more frustrating is that the paper is correct. The mistake is in an extra file that could have been corrected.,not modified,not modified
2023-06-27 13:58:38,2023-06-27 14:10:56,737,2023-06-27 14:10:57,R_Y02jyStUzz2j1LP,Yes,It was the main reason,Data input error,Physical and/or mental constraints,6,Yes,"1) Do not trust the published literature. My retracted article was a compilation of data from the literature. It turns out, some of the data in the compilation are erroneous. The error simply propagated through to the compilation and analyses.
2) Be aware that when you publish in a high-impact journal, the 'bad side' of academia becomes the worst side. The language and tone of the original [deleted identifiable information] paper [deleted identifiable information] were too unpalatable that the journal Nature itself would not consider to publish it unless and until they rewrote. Some people are just too full of themselves and are determined to humiliate you more than necessary.
3) Do not trust your co-author. I asked my co-author (who happens to be my PhD supervisor) to invite more co-authors with the relevant skills and expertise, and also to double check my work. But my co-author disapproved. He wanted the paper to be a two-authored paper, i.e., I and him.","I went public with my experience here: [deleted identifiable information]
Email: [deleted identifiable information]",modified,modified
2023-06-28 12:27:04,2023-06-28 12:48:42,1297,2023-06-28 12:48:43,R_2CHaI9Xp3IdteXT,Yes,Partially,Programming error,Lack of control,3,No,"In many cases, it would likely be more appropriate to publish a corrigendum instead of a retraction, as the error often only pertains to a small part of the results. However, in the current climate of a massive manuscript backlog, editors clearly prefer retraction, which leads to the loss of a great deal of valuable results. Publishing these results in a new article can be challenging, as referees and editors incorrectly argue that these results have been previously published (in the retracted article).",NA,not modified,not modified
2023-07-06 11:24:36,2023-07-06 11:26:46,130,2023-07-06 11:26:47,R_3EcImJTgWqDA2o9,Yes,Partially,Participant allocation error,Bad skill management,2,No,the retraction was made in order to improve the overall manuscript and rebuild a total new statistical correct work,NA,not modified,not modified
2023-07-06 13:15:15,2023-07-06 13:20:42,326,2023-07-06 13:20:45,R_1hQdW570LqtULQy,Yes,Partially,Ambiguous naming/defining of data,Inattention,6,Yes,NA,NA,not modified,not modified
2023-07-06 20:21:43,2023-07-06 20:35:16,813,2023-07-06 20:35:17,R_1E0AFXRDKbkxGPI,Yes,It was the main reason,Data selection/merging error,NA,3,No,We voluntarily retracted the article as the significant effects reported were related to a measure only tangential to the effect of interest. This of course had an impact on the global interpretation of the findings. Best course of action seemed to be retraction rather than an erratum.,"The error probably should have been caught in the review process as the descriptive summary data did not clearly align with values consistent with volumetrics. However, we overlooked this and reviewers did not notice this either. We only figured it out during an attempt at replicating the effect and found lower than expected correlations between the two datasets.",not modified,not modified
2023-07-08 07:42:01,2023-07-08 07:49:47,466,2023-07-08 07:49:48,R_2P8cuVU0ZJo1V75,Yes,It was the main reason,Data coding error,Inattention,6,No,It is important to double check your statistics by all co-authors and two statisticians (if possible) to ensure your work is credible.,Choose wisely your co-authors!!!,not modified,not modified
2023-07-13 16:19:57,2023-07-13 16:22:38,160,2023-07-13 16:22:39,R_2QAm9zpWtmAYPO4,Yes,Partially,Incorrect data processing/analysis,Lack of knowledge/experience,6,Yes,No,NA,not modified,not modified
2023-07-14 02:29:41,2023-07-14 02:34:04,263,2023-07-14 02:34:05,R_1lcQWZ16oE2SIxp,Yes,It was the main reason,Data selection/merging error,Bad or lack of standards,5,Yes,NA,NA,not modified,not modified
